"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","294","Create exercise","LMS service","Sun Dec 21 21:35:49 UTC 2025","passed","Sun Dec 21 21:35:49 UTC 2025","Create entity","Exercises","",""
"","16","Get file","LMS service","Sun Dec 21 21:35:53 UTC 2025","passed","Sun Dec 21 21:35:53 UTC 2025","Get entity","Files","",""
"","284","Login with correct email and password","LMS service","Sun Dec 21 21:35:47 UTC 2025","passed","Sun Dec 21 21:35:47 UTC 2025","Login","Authentication","",""
"","14","Get exercise","LMS service","Sun Dec 21 21:35:51 UTC 2025","passed","Sun Dec 21 21:35:51 UTC 2025","Get entity","Exercises","",""
"","19","Delete file","LMS service","Sun Dec 21 21:35:55 UTC 2025","passed","Sun Dec 21 21:35:55 UTC 2025","Delete entity","Files","",""
"","265","Create file with empty directory","LMS service","Sun Dec 21 21:35:53 UTC 2025","passed","Sun Dec 21 21:35:54 UTC 2025","Validate entity","Files","",""
"","288","Update exercise","LMS service","Sun Dec 21 21:35:50 UTC 2025","passed","Sun Dec 21 21:35:50 UTC 2025","Update entity","Exercises","",""
"","13","Get file with incorrect file id","LMS service","Sun Dec 21 21:35:55 UTC 2025","passed","Sun Dec 21 21:35:55 UTC 2025","Validate entity","Files","",""
"","296","Get courses","LMS service","Sun Dec 21 21:35:48 UTC 2025","passed","Sun Dec 21 21:35:48 UTC 2025","Get entities","Courses","",""
"","543","Create user","LMS service","Sun Dec 21 21:35:55 UTC 2025","passed","Sun Dec 21 21:35:56 UTC 2025","Create entity","Users","",""
"","260","Create file","LMS service","Sun Dec 21 21:35:52 UTC 2025","passed","Sun Dec 21 21:35:52 UTC 2025","Create entity","Files","",""
"","291","Create user","LMS service","Sun Dec 21 21:35:55 UTC 2025","passed","Sun Dec 21 21:35:56 UTC 2025","Create entity","Users","",""
"","305","Update course","LMS service","Sun Dec 21 21:35:49 UTC 2025","passed","Sun Dec 21 21:35:49 UTC 2025","Update entity","Courses","",""
"","19","Get exercises","LMS service","Sun Dec 21 21:35:52 UTC 2025","passed","Sun Dec 21 21:35:52 UTC 2025","Get entity","Exercises","",""
"","264","Create file with empty filename","LMS service","Sun Dec 21 21:35:54 UTC 2025","passed","Sun Dec 21 21:35:54 UTC 2025","Validate entity","Files","",""
"","12","Get user me","LMS service","Sun Dec 21 21:35:56 UTC 2025","passed","Sun Dec 21 21:35:56 UTC 2025","Get entity","Users","",""
"","520","Create user","LMS service","Sun Dec 21 21:35:55 UTC 2025","passed","Sun Dec 21 21:35:55 UTC 2025","Create entity","Users","",""
"","297","Create course","LMS service","Sun Dec 21 21:35:48 UTC 2025","passed","Sun Dec 21 21:35:48 UTC 2025","Create entity","Courses","",""
"","289","Delete exercise","LMS service","Sun Dec 21 21:35:51 UTC 2025","passed","Sun Dec 21 21:35:51 UTC 2025","Delete entity","Exercises","",""
