"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22","Create exercise","LMS service","Sun Dec 21 21:39:34 UTC 2025","passed","Sun Dec 21 21:39:34 UTC 2025","Create entity","Exercises","",""
"","15","Get file with incorrect file id","LMS service","Sun Dec 21 21:39:40 UTC 2025","passed","Sun Dec 21 21:39:40 UTC 2025","Validate entity","Files","",""
"","20","Get exercises","LMS service","Sun Dec 21 21:39:37 UTC 2025","passed","Sun Dec 21 21:39:37 UTC 2025","Get entity","Exercises","",""
"","535","Create user","LMS service","Sun Dec 21 21:39:40 UTC 2025","passed","Sun Dec 21 21:39:40 UTC 2025","Create entity","Users","",""
"","291","Delete file","LMS service","Sun Dec 21 21:39:39 UTC 2025","passed","Sun Dec 21 21:39:39 UTC 2025","Delete entity","Files","",""
"","19","Delete exercise","LMS service","Sun Dec 21 21:39:35 UTC 2025","passed","Sun Dec 21 21:39:35 UTC 2025","Delete entity","Exercises","",""
"","25","Get courses","LMS service","Sun Dec 21 21:39:32 UTC 2025","passed","Sun Dec 21 21:39:32 UTC 2025","Get entities","Courses","",""
"","14","Get file","LMS service","Sun Dec 21 21:39:38 UTC 2025","passed","Sun Dec 21 21:39:38 UTC 2025","Get entity","Files","",""
"","30","Create course","LMS service","Sun Dec 21 21:39:33 UTC 2025","passed","Sun Dec 21 21:39:33 UTC 2025","Create entity","Courses","",""
"","552","Login with correct email and password","LMS service","Sun Dec 21 21:39:31 UTC 2025","passed","Sun Dec 21 21:39:32 UTC 2025","Login","Authentication","",""
"","19","Get exercise","LMS service","Sun Dec 21 21:39:35 UTC 2025","passed","Sun Dec 21 21:39:35 UTC 2025","Get entity","Exercises","",""
"","23","Create file","LMS service","Sun Dec 21 21:39:37 UTC 2025","passed","Sun Dec 21 21:39:37 UTC 2025","Create entity","Files","",""
"","551","Create user","LMS service","Sun Dec 21 21:39:39 UTC 2025","passed","Sun Dec 21 21:39:40 UTC 2025","Create entity","Users","",""
"","257","Create file with empty directory","LMS service","Sun Dec 21 21:39:38 UTC 2025","passed","Sun Dec 21 21:39:38 UTC 2025","Validate entity","Files","",""
"","286","Create user","LMS service","Sun Dec 21 21:39:40 UTC 2025","passed","Sun Dec 21 21:39:40 UTC 2025","Create entity","Users","",""
"","22","Update exercise","LMS service","Sun Dec 21 21:39:34 UTC 2025","passed","Sun Dec 21 21:39:34 UTC 2025","Update entity","Exercises","",""
"","12","Get user me","LMS service","Sun Dec 21 21:39:41 UTC 2025","passed","Sun Dec 21 21:39:41 UTC 2025","Get entity","Users","",""
"","28","Update course","LMS service","Sun Dec 21 21:39:33 UTC 2025","passed","Sun Dec 21 21:39:33 UTC 2025","Update entity","Courses","",""
"","266","Create file with empty filename","LMS service","Sun Dec 21 21:39:39 UTC 2025","passed","Sun Dec 21 21:39:39 UTC 2025","Validate entity","Files","",""
