"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16","Get exercise","LMS service","Sun Dec 21 17:59:27 UTC 2025","passed","Sun Dec 21 17:59:27 UTC 2025","Get entity","Exercises","",""
"","14","Delete exercise","LMS service","Sun Dec 21 17:59:27 UTC 2025","passed","Sun Dec 21 17:59:27 UTC 2025","Delete entity","Exercises","",""
"","17","Update exercise","LMS service","Sun Dec 21 17:59:26 UTC 2025","passed","Sun Dec 21 17:59:26 UTC 2025","Update entity","Exercises","",""
"","12","Get exercises","LMS service","Sun Dec 21 17:59:28 UTC 2025","passed","Sun Dec 21 17:59:28 UTC 2025","Get entity","Exercises","",""
"","22","Create exercise","LMS service","Sun Dec 21 17:59:26 UTC 2025","passed","Sun Dec 21 17:59:26 UTC 2025","Create entity","Exercises","",""
