"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","260","Create file with empty directory","LMS service","Sun Dec 21 17:37:19 UTC 2025","passed","Sun Dec 21 17:37:19 UTC 2025","Validate entity","Files","",""
"","15","Get file","LMS service","Sun Dec 21 17:37:18 UTC 2025","passed","Sun Dec 21 17:37:18 UTC 2025","Get entity","Files","",""
"","302","Get courses","LMS service","Sun Dec 21 17:37:13 UTC 2025","passed","Sun Dec 21 17:37:14 UTC 2025","Get entities","Courses","",""
"","20","Create exercise","LMS service","Sun Dec 21 17:37:15 UTC 2025","passed","Sun Dec 21 17:37:15 UTC 2025","Create entity","Exercises","",""
"","19","Create file with empty filename","LMS service","Sun Dec 21 17:37:20 UTC 2025","passed","Sun Dec 21 17:37:20 UTC 2025","Validate entity","Files","",""
"","32","Update course","LMS service","Sun Dec 21 17:37:15 UTC 2025","passed","Sun Dec 21 17:37:15 UTC 2025","Update entity","Courses","",""
"","283","Login with correct email and password","LMS service","Sun Dec 21 17:37:12 UTC 2025","passed","Sun Dec 21 17:37:13 UTC 2025","Login","Authentication","",""
"","260","Create file","LMS service","Sun Dec 21 17:37:18 UTC 2025","passed","Sun Dec 21 17:37:18 UTC 2025","Create entity","Files","",""
"","30","Create course","LMS service","Sun Dec 21 17:37:14 UTC 2025","passed","Sun Dec 21 17:37:14 UTC 2025","Create entity","Courses","",""
"","15","Get exercises","LMS service","Sun Dec 21 17:37:17 UTC 2025","passed","Sun Dec 21 17:37:17 UTC 2025","Get entity","Exercises","",""
"","18","Get file with incorrect file id","LMS service","Sun Dec 21 17:37:21 UTC 2025","passed","Sun Dec 21 17:37:21 UTC 2025","Validate entity","Files","",""
"","31","Update exercise","LMS service","Sun Dec 21 17:37:16 UTC 2025","passed","Sun Dec 21 17:37:16 UTC 2025","Update entity","Exercises","",""
"","538","Create user","LMS service","Sun Dec 21 17:37:21 UTC 2025","passed","Sun Dec 21 17:37:21 UTC 2025","Create entity","Users","",""
"","17","Delete file","LMS service","Sun Dec 21 17:37:21 UTC 2025","passed","Sun Dec 21 17:37:21 UTC 2025","Delete entity","Files","",""
"","285","Create user","LMS service","Sun Dec 21 17:37:21 UTC 2025","passed","Sun Dec 21 17:37:21 UTC 2025","Create entity","Users","",""
"","27","Delete exercise","LMS service","Sun Dec 21 17:37:17 UTC 2025","passed","Sun Dec 21 17:37:17 UTC 2025","Delete entity","Exercises","",""
"","17","Get exercise","LMS service","Sun Dec 21 17:37:16 UTC 2025","passed","Sun Dec 21 17:37:16 UTC 2025","Get entity","Exercises","",""
"","14","Get user me","LMS service","Sun Dec 21 17:37:22 UTC 2025","passed","Sun Dec 21 17:37:22 UTC 2025","Get entity","Users","",""
"","527","Create user","LMS service","Sun Dec 21 17:37:21 UTC 2025","passed","Sun Dec 21 17:37:22 UTC 2025","Create entity","Users","",""
